,CAGR,Vol,Sharpe,MaxDD,CorrEq
swiss_equity,0.08880764320081846,0.14841900107689537,0.647991796544304,-0.2587427453344159,0.6665965759188397
world_equity,0.1015117397202352,0.17883744981073998,0.630657438590683,-0.3470858760815869,1.0
swiss_bonds,0.0032838023133732186,0.0724254493591339,0.08144926337984666,-0.1919032381332697,-0.04287399561489371
world_bonds,-0.018734103008600456,0.05078232999660267,-0.3470109970581224,-0.1996859728305891,0.003164105679618934
real_estate,0.08124555569770053,0.15425976990224524,0.5840449341195539,-0.29322822429247464,0.7185753791628307
gold,0.12234699421340056,0.1540691302106067,0.8264515990321983,-0.21838895395773994,0.07690802601293609
convertibles,0.10601289394838243,0.17016838492835556,0.6777721625776465,-0.34148753141500265,0.41541677771786256
clo,0.01046719564030818,0.019195458565648818,0.5520907088601962,-0.04013153857567986,0.17457727183905558
infrastructure,0.05386094161016386,0.18468198530726992,0.3777335935440861,-0.4222027960900143,0.36185463601596557
managed_futures,0.05636306490542187,0.12229812626443178,0.509699653146752,-0.23803087248532517,0.14595246878981696
private_credit,0.04053961382750604,0.2464988792328732,0.28570176189228025,-0.555189118264819,0.40409356624549486
cash,0.0008954414790374177,0.00040891395843030214,2.189032533425012,-0.016433092694123963,0.010540433146387064
ils,0.08752826795586732,0.02981115102905735,2.8300184377777455,-0.17250048352137748,-0.003297123106420961
