,swiss_equity,sli,spi_extra,world_equity,world_small,em_equity,swiss_bonds,swiss_bonds_1_5,world_bonds,world_bonds_1_5,real_estate,cash,gold,commodities,infrastructure,managed_futures,high_yield,em_debt
AP5,0.11,0.12,0.02,0.19,0.03,0.03,0.108,0.06,0.168,0.084,0.05,0.03,0.0,0.0,0.0,0.0,0.0,0.0
repl_10,0.11,0.12,0.02,0.19,0.03,0.03,0.0972,0.054,0.1512,0.0756,0.05,0.03,0.007,0.007,0.007,0.007,0.007,0.007
repl_20,0.11,0.12,0.02,0.19,0.03,0.03,0.0864,0.048,0.13440000000000002,0.06720000000000001,0.05,0.03,0.014,0.014,0.014,0.014,0.014,0.014
repl_30,0.11,0.12,0.02,0.19,0.03,0.03,0.0756,0.041999999999999996,0.1176,0.0588,0.05,0.03,0.020999999999999998,0.020999999999999998,0.020999999999999998,0.020999999999999998,0.020999999999999998,0.020999999999999998
repl_40,0.11,0.12,0.02,0.19,0.03,0.03,0.0648,0.036,0.1008,0.0504,0.05,0.03,0.028,0.028,0.028,0.028,0.028,0.028
repl_50,0.11,0.12,0.02,0.19,0.03,0.03,0.054,0.03,0.084,0.042,0.05,0.03,0.034999999999999996,0.034999999999999996,0.034999999999999996,0.034999999999999996,0.034999999999999996,0.034999999999999996
repl_60,0.11,0.12,0.02,0.19,0.03,0.03,0.0432,0.024,0.06720000000000001,0.033600000000000005,0.05,0.03,0.041999999999999996,0.041999999999999996,0.041999999999999996,0.041999999999999996,0.041999999999999996,0.041999999999999996
repl_70,0.11,0.12,0.02,0.19,0.03,0.03,0.032400000000000005,0.018000000000000002,0.05040000000000001,0.025200000000000004,0.05,0.03,0.048999999999999995,0.048999999999999995,0.048999999999999995,0.048999999999999995,0.048999999999999995,0.048999999999999995
repl_80,0.11,0.12,0.02,0.19,0.03,0.03,0.021599999999999994,0.011999999999999997,0.0336,0.0168,0.05,0.03,0.056,0.056,0.056,0.056,0.056,0.056
repl_90,0.11,0.12,0.02,0.19,0.03,0.03,0.010799999999999997,0.005999999999999998,0.0168,0.0084,0.05,0.03,0.063,0.063,0.063,0.063,0.063,0.063
repl_100,0.11,0.12,0.02,0.19,0.03,0.03,0.0,0.0,0.0,0.0,0.05,0.03,0.06999999999999999,0.06999999999999999,0.06999999999999999,0.06999999999999999,0.06999999999999999,0.06999999999999999
