,CAGR,Vol,Sharpe,MaxDD
AP5,0.033536574041694855,0.07373051028781727,0.5851942529976052,-0.10309221742170627
repl_10,0.03538667817777652,0.07593231883978079,0.594004581371898,-0.10830521697886664
repl_20,0.03718657678845405,0.0782257630693377,0.6011119090676079,-0.11351721246445523
repl_30,0.03904398115295615,0.0805806558215112,0.6081352377957505,-0.11872820403784567
repl_40,0.040605691943953026,0.08318866484266335,0.6097453218611899,-0.12393827381226175
repl_50,0.04235718121138299,0.08568261396789853,0.614152502671602,-0.1291478086236446
repl_60,0.04430163047289226,0.08822124947534944,0.6201882836550836,-0.13435662857654673
repl_70,0.04603389936785507,0.0908312360446677,0.623264235147933,-0.1395645172222295
repl_80,0.04818570197479333,0.09337833278961291,0.6308837575076313,-0.14477147470503438
repl_90,0.049214209361991834,0.09604499259851812,0.6262699132790455,-0.1499775011692751
repl_100,0.051194570687975505,0.0988199802264887,0.6305981000429588,-0.15518259675923796
