,dCAGR_med,dCAGR_p5,dCAGR_p95,dSharpe_med,dSharpe_p5,dSharpe_p95,P_dSharpe_gt0,dMaxDD_med,dMaxDD_p5,dMaxDD_p95,P_worse_drawdown
repl_10,0.00012956640391004193,-0.0017411863579810615,0.0019848575970737967,-0.0035088393125823902,-0.028287702600048353,0.020231054847305658,0.39266666666666666,-0.004931576062221665,-0.015497548072212436,0.007688620930662554,0.7106666666666667
repl_20,0.001751749131792435,-0.0012524302904592833,0.004712443119525765,0.005958514363908429,-0.030550749182348052,0.04435055088710895,0.6073333333333333,-0.008422957089747607,-0.024067171230154533,0.012373625371813034,0.726
repl_30,0.002350866456565126,-0.0018060052849501627,0.006393960273669118,0.0015798259838811224,-0.044480603740581694,0.05321413126727666,0.518,-0.015185900428320631,-0.035680656401650676,0.015348082237810371,0.803
repl_40,0.0031250795154139643,-0.002246560332874714,0.008458159012580907,-0.00010810445959030801,-0.05721420549561569,0.06352911220398995,0.49933333333333335,-0.021317564834611002,-0.046776810251400236,0.018135907574196364,0.826
repl_50,0.0040034418771365265,-0.002673628686768237,0.010443990352328358,-0.0024983762887890726,-0.06873497083337461,0.07314878080289279,0.479,-0.027318075614998827,-0.057787915421321126,0.019770344831680105,0.8416666666666667
repl_60,0.004517769401836236,-0.0033965108024982308,0.012176129728894066,-0.007484070863840175,-0.08365811568903274,0.07941728951351407,0.44066666666666665,-0.03411490413217638,-0.07044926166720723,0.01978356337762796,0.8646666666666667
repl_70,0.005302805123270304,-0.0039021426554168063,0.014228081704465663,-0.010069872985154216,-0.09540973530164185,0.08961458600988657,0.43333333333333335,-0.0404533736970083,-0.08209881173652318,0.019849591439216715,0.874
repl_80,0.006172581265020516,-0.00431735191197316,0.016590213901861717,-0.011780520240722347,-0.10635456294722952,0.09797175990282637,0.42433333333333334,-0.047583716443447055,-0.09384455226397642,0.01787545694777823,0.8883333333333333
repl_90,0.006915941810521686,-0.00488353710833056,0.01863666597524869,-0.014975381204517912,-0.11776183415683561,0.10560006365351739,0.4156666666666667,-0.05450691112552952,-0.1058430587515221,0.015869741345541973,0.9023333333333333
repl_100,0.0074870944043107235,-0.005595680133159142,0.020482761172605266,-0.019491063369222128,-0.13066931831435152,0.11103604684987839,0.40166666666666667,-0.06139330174070007,-0.11804858771476888,0.013472956373083659,0.911
