,WF_max_sharpe,WF_min_variance,WF_min_cvar,P0_AP5_benchmark_OOS,IS_max_sharpe_lookahead,IS_min_variance_lookahead,IS_min_cvar_lookahead
2021-07-30,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2021-08-02,100.0763461919101,100.1547517950345,100.13318909034665,100.12796766386947,100.0612596104113,100.12234660029465,100.11063928884319
2021-08-03,100.01704294467193,100.18256664722571,100.14427990902941,100.14154368626518,99.97655220234815,100.1137870879847,100.08784712430732
2021-08-04,100.1365697641712,100.331608382899,100.3423926408274,100.35351260580441,100.10938806987271,100.31297882595875,100.31212551196647
2021-08-05,100.31824611962321,100.53149248581789,100.4597543502817,100.42617616738056,100.27833350296493,100.42320171731826,100.39703019270827
2021-08-06,100.18049754609845,100.52889055836071,100.4930233878915,100.47049929232583,100.17950398450814,100.4929100774842,100.48434745973842
2021-08-09,100.3061190611649,100.87776137968967,100.79127772577263,100.74807415677456,100.2976353104781,100.79247845390609,100.76307481154328
2021-08-10,100.58104207807392,101.11758976666418,101.06015765811304,101.04355781299172,100.57221275926567,101.06666521488759,101.03760586063919
2021-08-11,100.78297201562003,101.20725146552627,101.1223081599538,101.07933871749681,100.79381380114738,101.14600439583121,101.11754656605537
2021-08-12,100.95923704849888,101.34535544732105,101.29518517521939,101.27925905648868,100.9574253286733,101.3068060127765,101.28254467473008
2021-08-13,101.13871444653839,101.48997736063524,101.4340844837316,101.40830262366683,101.13982498371334,101.4444356008107,101.42374537702543
2021-08-16,100.62638123761134,100.96104938100068,100.92584247024836,100.92722885930014,100.61609232504634,100.93311428722348,100.9061840391848
2021-08-17,100.65634672483354,101.00603471552863,101.02143736035814,101.0365238148196,100.70032379915632,101.07785529468475,101.0772638870353
2021-08-18,100.70126570327325,101.13874717986748,101.18540086142733,101.22528552162653,100.74212305685606,101.24122827139412,101.24401884070593
2021-08-19,100.00768267506692,100.50080387701945,100.48848038744357,100.51342651087494,100.02689653946521,100.53760653377101,100.50889402488411
2021-08-20,100.50934675940648,100.94467094771848,100.94775256404995,100.99268184199576,100.50743659019857,100.97927355927399,100.94611065575587
2021-08-23,100.95534512672586,101.17560316662193,101.19167009344991,101.24237421718159,100.96646896326689,101.23651847761954,101.20833188583785
2021-08-24,100.84988975845106,101.0224469806976,101.03829179482359,101.09494141875568,100.86401028608608,101.09152957078933,101.05849226066054
2021-08-25,100.7761208737177,100.90033082207712,100.9267402820436,100.98410724148931,100.82873865771683,101.02105151132656,100.99520165317503
2021-08-26,100.89761069854461,100.9499892271208,100.98079563347682,101.03104413045455,100.98781042960489,101.11214593557688,101.09513538368272
2021-08-27,101.18551510475487,101.16313456882835,101.158952579591,101.19255829093348,101.26024858197013,101.27705106451492,101.24748569110473
2021-08-30,101.37670445068892,101.2962003589401,101.32084668566958,101.36574747732261,101.45552636559168,101.43760369813431,101.42028886091316
2021-08-31,101.26580601014203,101.25121638313152,101.31239237344131,101.38751118249931,101.33385461740735,101.42090397716714,101.40657168197164
2021-09-01,101.61055650827284,101.2783183839159,101.3405925532738,101.39298849060678,101.72724132953459,101.48879677967517,101.49318620213737
2021-09-02,101.6634438787317,101.50324818852347,101.53779734017296,101.58758988698833,101.74587743057828,101.65753184245612,101.64362745680002
2021-09-03,101.60468096603283,101.3371824586416,101.34400257030119,101.36351204917248,101.68228859388564,101.44864797971857,101.43827081885162
2021-09-06,101.91455305693722,101.55938300158414,101.62319751928652,101.64442101947857,102.04187137099947,101.7587362368833,101.78883391245625
2021-09-07,101.47876861857421,101.12233478012442,101.26603251147648,101.2968805784098,101.6505648524843,101.42042219990006,101.50155497482294
2021-09-08,100.99420195896131,100.71238808460978,100.83583799682549,100.84665087863914,101.16961212191285,100.98938688409594,101.07145717480674
2021-09-09,100.89995787892596,100.7438430694916,100.81514196108392,100.82574253310376,101.01239750650224,100.92057503465122,100.96454086312269
2021-09-10,100.571713036168,100.51489803833368,100.61810507333688,100.64405654094179,100.6988832734117,100.7365087880839,100.79178753397882
2021-09-13,100.645773458601,100.50058068915304,100.61478759165911,100.65340369697063,100.77388478159702,100.73852636793545,100.791892134324
2021-09-14,100.8310773695295,100.67971460665137,100.76333408223512,100.78626003159485,100.95356778501221,100.8840394347269,100.92732900166963
2021-09-15,100.23497438562212,100.04131776048038,100.1685088567859,100.20339348125565,100.3719482137308,100.29308986198609,100.35892636427779
2021-09-16,100.68541964572188,100.50026034433752,100.64945856778955,100.68708673585817,100.855396187234,100.804128663382,100.88395230528558
2021-09-17,100.3356568882652,100.12065918268671,100.31914959532308,100.36936482768779,100.54741688210109,100.50784676930739,100.6139200247168
2021-09-20,99.25747675520265,99.25465604798619,99.37062473934837,99.39132131875297,99.42210394670961,99.52299488882583,99.5917821853751
2021-09-21,99.68947971462808,99.62729471905894,99.77649294251093,99.80280108543613,99.85935239271126,99.92211353234775,100.01086242478753
2021-09-22,99.7808287428592,99.7122295481907,99.81961792000895,99.83168554379809,99.9211808519455,99.9406491678395,100.0099431424756
2021-09-23,100.06446991528092,99.92585242953791,100.07790725103489,100.08934469845978,100.26242853111206,100.24390315509875,100.34647317680535
2021-09-24,99.68025913546701,99.44139278984267,99.59697049709332,99.5845874920437,99.93131778340654,99.80586059989203,99.92979713419146
2021-09-27,99.36840243191021,99.14059752149797,99.33754624140894,99.34818005290562,99.62728390496626,99.55221805970287,99.68836780919477
2021-09-28,98.5245625386029,98.52467475444529,98.63821964788318,98.59971015759557,98.8014951206314,98.87953628108009,98.99322573874876
2021-09-29,98.57891048898118,98.59708969931401,98.7335227084002,98.721623439394,98.82242138842003,98.94381776546304,99.0533232572744
2021-09-30,98.7322355085349,98.48128874765722,98.6348866151675,98.60553400292721,99.031495905794,98.88910204038905,99.02496528962692
2021-10-01,98.27481357730615,98.19470785784209,98.29967198722942,98.26784253954062,98.50206485091448,98.49132600063956,98.59345146203921
2021-10-04,97.99126016072111,97.99037321098125,98.12328310663,98.09518836208022,98.24842364744882,98.338991951782,98.45868124003405
2021-10-05,98.24791488974968,98.11883445975157,98.2425026792105,98.19885858941242,98.53404879379052,98.48546287822637,98.61062986442164
2021-10-06,97.86460761527395,97.70468732412878,97.8382594852047,97.79803674815739,98.16567438310135,98.09658120610176,98.22631879912443
2021-10-07,98.68127203375671,98.44617986834002,98.61011647439118,98.59949119281242,98.98802436807648,98.88263124563024,99.0113162175507
2021-10-08,98.6744333533545,98.39289576361568,98.52030091719914,98.48652771454638,99.01180879960964,98.83038341001856,98.9505101242026
2021-10-11,98.59714651740671,98.20347768713093,98.41340257604642,98.40651438532166,98.97677306271046,98.75189650595586,98.91138421043848
2021-10-12,98.62277000422931,98.16382362852094,98.36978949037804,98.35504233592222,99.01117212401883,98.71466448879609,98.87744318197463
2021-10-13,98.99573642266789,98.47255733496472,98.64419883577497,98.6372834078824,99.33263939452462,98.95166287062345,99.08307717582603
2021-10-14,99.4321611399566,98.93884930999843,99.05679628880435,99.03786280472502,99.7128119031124,99.31568416363122,99.41716949996801
2021-10-15,99.9064178586487,99.37217844238829,99.52071329262313,99.5039386097751,100.21874133501359,99.80313221685037,99.9253628476332
2021-10-18,99.88357656522359,99.35122391494731,99.50283970932317,99.48065199114733,100.22472318630086,99.81385495775716,99.94261448505789
2021-10-19,100.04665038147158,99.39750722106284,99.56364420749163,99.53921259362895,100.40863138331385,99.89018981382857,100.0313751442362
2021-10-20,100.39645522813228,99.723787377297,99.88684565297882,99.86946417069295,100.73990351728024,100.19839530811672,100.33176261584865
2021-10-21,100.2524026380458,99.50270780930181,99.67060589262815,99.63745952023267,100.63151118626732,100.00984583108121,100.15919470394519
2021-10-22,100.46537637837747,99.69061927552666,99.9001082508212,99.88966304848518,100.85010362281426,100.24212870043263,100.40410102124598
2021-10-25,100.50666344714998,99.64340443374122,99.8234030246964,99.81459446927738,100.87773202679418,100.16585942674874,100.30489934821975
2021-10-26,100.90443208689186,100.20378039341654,100.35583433480733,100.34040022636674,101.24345599266371,100.6694049014867,100.7931611002539
2021-10-27,100.58103190531989,100.02789732758673,100.17775244980352,100.16896617862176,100.89146627874274,100.46351653019994,100.5804176168698
2021-10-28,100.70719623355902,100.0649760740885,100.22406929472021,100.21441650243403,101.04090344361384,100.53214115854982,100.65650497772359
2021-10-29,100.5951402029355,99.75989441717972,100.02373636553999,100.03951078749908,101.00533692331094,100.3883580189492,100.56954532627267
2021-11-01,101.04801964738938,100.18523498589511,100.39582212046965,100.39665405208076,101.42624567627819,100.73837972606015,100.89226651549843
2021-11-02,101.40459377447515,100.7513902659775,100.86845176972534,100.84792122046204,101.70835465404171,101.15419280686442,101.25628752597939
2021-11-03,101.30631342081553,100.85995548297855,100.96073737567653,100.92502534035121,101.60422296582277,101.2360571296455,101.33817460824548
2021-11-04,101.77901268536182,101.2240790135586,101.37503477590131,101.36024570835104,102.07847454493093,101.64236122353067,101.76480292494207
2021-11-05,102.15592229176373,101.52594776210076,101.6062653370747,101.58067917745986,102.37389378088788,101.80468242874656,101.88379811583361
2021-11-08,102.27687885017932,101.59497522753038,101.67595417891829,101.64809960560619,102.49649598550525,101.87420418607749,101.9555937608972
2021-11-09,102.43142446241329,101.7347351595153,101.81857540342011,101.79924093848636,102.61823333604751,101.9827909670187,102.05956268502095
2021-11-10,102.36668004525411,101.5399861845752,101.63372721706058,101.60448213099104,102.59238706202258,101.83146483892729,101.92331641723453
2021-11-11,102.52621183550612,101.48604271051029,101.62665526752403,101.59669304019478,102.81916905221622,101.87966812580223,102.00648254778697
2021-11-12,102.84825258785737,101.79603275101674,101.93246397121544,101.89257542333809,103.128717996144,102.1649017667548,102.29647403510751
