,CSBGC0.SW
2016-07-01,103.16962432861328
2016-07-04,103.17767333984375
2016-07-05,102.84841918945312
2016-07-06,102.84040069580078
2016-07-07,102.99295806884766
2016-07-08,103.03312683105469
2016-07-11,103.42662048339844
2016-07-12,103.02509307861328
2016-07-13,102.7440185546875
2016-07-14,102.31037139892578
2016-07-15,102.65569305419922
2016-07-18,102.70384216308594
2016-07-19,102.21768951416016
2016-07-20,102.26631164550781
2016-07-21,102.06375122070312
2016-07-22,102.00701904296875
2016-07-25,102.15287780761719
2016-07-26,102.07185363769531
2016-07-27,102.13667297363281
2016-07-28,102.34732818603516
2016-07-29,102.67143249511719
2016-08-02,101.91788482666016
2016-08-03,102.16098022460938
2016-08-04,102.37166595458984
2016-08-05,102.3149185180664
2016-08-08,102.38785552978516
2016-08-09,102.3635482788086
2016-08-10,102.7848892211914
2016-08-11,102.62285614013672
2016-08-12,102.7848892211914
2016-08-15,102.26631164550781
2016-08-16,102.144775390625
2016-08-17,101.75585174560547
2016-08-18,102.21768951416016
2016-08-19,102.06375122070312
2016-08-22,101.94219207763672
2016-08-23,102.26631164550781
2016-08-24,102.21768951416016
2016-08-25,102.18528747558594
2016-08-26,102.16098022460938
2016-08-29,102.02323913574219
2016-08-30,101.7882308959961
2016-08-31,101.53705596923828
2016-09-01,101.5532455444336
2016-09-02,101.56137084960938
2016-09-05,101.59375762939453
2016-09-06,102.03943634033203
2016-09-07,102.19339752197266
2016-09-08,101.92597198486328
2016-09-09,101.36688232421875
2016-09-12,100.94556427001953
2016-09-13,100.94556427001953
2016-09-14,100.73487091064453
2016-09-15,100.51608276367188
2016-09-16,100.65384674072266
2016-09-19,100.80778503417969
2016-09-20,101.14810180664062
2016-09-21,101.01848602294922
2016-09-22,101.03466033935547
2016-09-23,101.4236068725586
2016-09-26,101.7801513671875
2016-09-27,102.03130340576172
2016-09-28,101.99082946777344
2016-09-29,101.91788482666016
2016-09-30,102.34732818603516
2016-10-03,102.33924102783203
2016-10-04,102.24201202392578
2016-10-05,101.49654388427734
2016-10-06,101.73152160644531
2016-10-07,101.92597198486328
2016-10-10,101.6990966796875
2016-10-11,101.61808013916016
2016-10-12,101.28585052490234
2016-10-13,101.68290710449219
2016-10-14,101.36688232421875
2016-10-17,101.28585052490234
2016-10-18,101.45603942871094
2016-10-19,101.36688232421875
2016-10-20,101.57757568359375
2016-10-21,101.57757568359375
2016-10-24,101.27776336669922
2016-10-25,101.31825256347656
2016-10-26,100.86450958251953
2016-10-27,100.63763427734375
2016-10-28,100.47557067871094
2016-10-31,100.64571380615234
2016-11-01,100.18386840820312
2016-11-02,100.32161712646484
2016-11-03,99.94888305664062
2016-11-04,99.94888305664062
2016-11-07,99.8111343383789
2016-11-08,99.84355926513672
2016-11-09,100.31352233886719
2016-11-10,98.59571838378906
2016-11-11,98.69294738769531
2016-11-14,98.0123062133789
2016-11-15,98.1824722290039
2016-11-16,97.8826675415039
2016-11-17,97.8826675415039
2016-11-18,98.08524322509766
2016-11-21,98.20674896240234
2016-11-22,98.28778076171875
2016-11-23,98.4012451171875
2016-11-24,98.12577056884766
2016-11-25,98.44986724853516
2016-11-28,98.3769302368164
2016-11-29,98.36072540283203
2016-11-30,98.0528335571289
2016-12-01,97.76920318603516
2016-12-02,97.73682403564453
2016-12-05,97.74490356445312
2016-12-06,97.55042266845703
2016-12-07,97.77731323242188
2016-12-08,97.28302764892578
2016-12-09,97.30735778808594
2016-12-12,96.78877258300781
2016-12-13,97.03997802734375
2016-12-14,97.5018310546875
2016-12-15,97.3316650390625
2016-12-16,97.39649963378906
2016-12-19,97.43700408935547
2016-12-20,97.57473754882812
2016-12-21,97.69629669189453
2016-12-22,97.87454986572266
2016-12-23,98.04471588134766
2016-12-27,98.36884307861328
2016-12-28,98.4174575805664
2016-12-29,98.4174575805664
2016-12-30,98.75776672363281
2017-01-03,98.14196014404297
2017-01-04,98.77397918701172
2017-01-05,98.6524429321289
2017-01-06,98.9522476196289
2017-01-09,98.7415771484375
2017-01-10,98.94410705566406
2017-01-11,99.24394989013672
2017-01-12,98.83880615234375
2017-01-13,98.83880615234375
2017-01-16,98.81449127197266
2017-01-17,99.05140686035156
2017-01-18,98.77365112304688
2017-01-19,98.36517333984375
2017-01-20,98.03018951416016
2017-01-23,98.18540954589844
2017-01-24,98.34880828857422
2017-01-25,97.75241088867188
2017-01-26,97.7360610961914
2017-01-27,98.05469512939453
2017-01-30,98.08734893798828
2017-01-31,97.66255187988281
2017-02-01,97.38475036621094
2017-02-02,97.77690124511719
2017-02-03,97.81775665283203
2017-02-06,97.84229278564453
2017-02-07,98.10370635986328
2017-02-08,98.32429504394531
2017-02-09,98.29161834716797
2017-02-10,98.29161834716797
2017-02-13,98.31611633300781
2017-02-14,98.36517333984375
2017-02-15,97.85042572021484
2017-02-16,98.22625732421875
2017-02-17,98.6265869140625
2017-02-20,98.56122589111328
2017-02-21,98.56122589111328
2017-02-22,98.60206604003906
2017-02-23,99.05140686035156
2017-02-24,99.34552764892578
2017-02-27,99.3210220336914
2017-02-28,99.23116302490234
2017-03-01,99.17395782470703
2017-03-02,98.9697265625
2017-03-03,98.60206604003906
2017-03-06,98.45500183105469
2017-03-07,98.39781951904297
2017-03-08,97.86676788330078
2017-03-09,97.36843872070312
2017-03-10,97.22138977050781
2017-03-13,97.23770904541016
2017-03-14,97.31940460205078
2017-03-15,97.4991455078125
2017-03-16,97.62166595458984
2017-03-17,97.65435791015625
2017-03-20,97.66255187988281
2017-03-21,97.54000091552734
2017-03-22,97.45012664794922
2017-03-23,97.47463989257812
2017-03-24,97.40111541748047
2017-03-27,97.74424743652344
2017-03-28,97.89946746826172
2017-03-29,98.59392547607422
2017-03-30,98.59392547607422
2017-03-31,98.2017593383789
2017-04-03,98.23442840576172
2017-04-04,98.7000961303711
2017-04-05,98.47953033447266
2017-04-06,98.78999328613281
2017-04-07,98.92070770263672
2017-04-10,99.0432357788086
2017-04-11,98.9533920288086
2017-04-12,98.7000961303711
2017-04-13,99.1903076171875
2017-04-18,99.26384735107422
2017-04-19,99.13311004638672
2017-04-20,99.23116302490234
2017-04-21,99.01870727539062
2017-04-24,98.2752914428711
2017-04-25,98.39781951904297
2017-04-26,97.948486328125
2017-04-27,98.0792236328125
2017-04-28,98.1527328491211
2017-05-02,98.34880828857422
2017-05-03,98.2017593383789
2017-05-04,97.80143737792969
2017-05-05,97.85042572021484
2017-05-08,97.98117065429688
2017-05-09,97.45830535888672
2017-05-10,97.67070007324219
2017-05-11,97.61355590820312
2017-05-12,98.0792236328125
2017-05-15,97.83409118652344
2017-05-16,97.72789764404297
2017-05-17,98.32429504394531
2017-05-18,98.29977416992188
2017-05-19,98.26710510253906
2017-05-22,98.14456176757812
2017-05-23,98.05469512939453
2017-05-24,98.44685363769531
2017-05-26,98.6429443359375
2017-05-29,98.44685363769531
2017-05-30,98.78999328613281
2017-05-31,99.05958557128906
2017-06-01,99.0432357788086
2017-06-02,98.76547241210938
2017-06-06,99.10859680175781
2017-06-07,98.78182220458984
2017-06-08,99.1657943725586
2017-06-09,98.92887878417969
2017-06-12,98.9697265625
2017-06-13,98.8553466796875
2017-06-14,98.92887878417969
2017-06-15,98.9860610961914
2017-06-16,98.9860610961914
2017-06-19,98.66742706298828
2017-06-20,98.88800811767578
2017-06-21,98.9615478515625
2017-06-22,98.60206604003906
2017-06-23,98.88800811767578
2017-06-26,98.58572387695312
2017-06-27,98.55304718017578
2017-06-28,97.87496948242188
2017-06-29,98.03833770751953
2017-06-30,97.67070007324219
2017-07-03,97.78510284423828
2017-07-04,97.78510284423828
2017-07-05,97.68704986572266
2017-07-06,97.2540512084961
2017-07-07,97.27857208251953
2017-07-10,97.27857208251953
2017-07-11,97.18053436279297
2017-07-12,96.91908264160156
2017-07-13,96.87007141113281
2017-07-14,96.87007141113281
2017-07-17,97.40111541748047
2017-07-18,97.09632110595703
2017-07-19,97.61528015136719
2017-07-20,97.43404388427734
2017-07-21,97.24458312988281
2017-07-24,97.35990905761719
2017-07-25,96.73384857177734
2017-07-26,96.8244857788086
2017-07-27,97.17047119140625
2017-07-28,96.90682983398438
2017-07-31,97.11277770996094
2017-08-02,97.50818634033203
