,EUR
2016-06-30,1.0841000080108643
2016-07-03,1.0844000577926636
2016-07-04,1.0820599794387817
2016-07-05,1.0807000398635864
2016-07-06,1.0819000005722046
2016-07-07,1.082900047302246
2016-07-10,1.085800051689148
2016-07-11,1.0865999460220337
2016-07-12,1.0938299894332886
2016-07-13,1.092170000076294
2016-07-14,1.0898100137710571
2016-07-17,1.0875200033187866
2016-07-18,1.0879199504852295
2016-07-19,1.085919976234436
2016-07-20,1.0867600440979004
2016-07-21,1.0865099430084229
2016-07-24,1.0839300155639648
2016-07-25,1.0835800170898438
2016-07-26,1.0899200439453125
2016-07-27,1.0900299549102783
2016-07-28,1.0858399868011475
2016-07-31,1.0826400518417358
2016-08-01,1.0811899900436401
2016-08-02,1.0823999643325806
2016-08-03,1.0847400426864624
2016-08-04,1.084220051765442
2016-08-07,1.0871399641036987
2016-08-08,1.089359998703003
2016-08-09,1.0910600423812866
2016-08-10,1.0892900228500366
2016-08-11,1.0860099792480469
2016-08-14,1.0880999565124512
2016-08-15,1.0880199670791626
2016-08-16,1.0844000577926636
2016-08-17,1.0862499475479126
2016-08-18,1.0832300186157227
2016-08-21,1.086459994316101
2016-08-22,1.0894999504089355
2016-08-23,1.0887099504470825
2016-08-24,1.0893000364303589
2016-08-25,1.0915199518203735
2016-08-28,1.094920039176941
2016-08-29,1.0943200588226318
2016-08-30,1.0961600542068481
2016-08-31,1.097409963607788
2016-09-01,1.0973000526428223
2016-09-04,1.0936299562454224
2016-09-05,1.0928599834442139
2016-09-06,1.0914000272750854
2016-09-07,1.089859962463379
2016-09-08,1.0951600074768066
2016-09-11,1.0957599878311157
2016-09-12,1.0920599699020386
2016-09-13,1.0957000255584717
2016-09-14,1.094499945640564
2016-09-15,1.0923000574111938
2016-09-18,1.0930700302124023
2016-09-19,1.095460057258606
2016-09-20,1.092039942741394
2016-09-21,1.0891000032424927
2016-09-22,1.0862499475479126
2016-09-25,1.0893000364303589
2016-09-26,1.0901199579238892
2016-09-27,1.088670015335083
2016-09-28,1.0892000198364258
2016-09-29,1.0838500261306763
2016-10-02,1.0918099880218506
2016-10-03,1.0915800333023071
2016-10-04,1.0966999530792236
2016-10-05,1.0915800333023071
2016-10-06,1.0925500392913818
2016-10-09,1.0944700241088867
2016-10-10,1.0939500331878662
2016-10-11,1.0925699472427368
2016-10-12,1.0902999639511108
2016-10-13,1.0900700092315674
2016-10-16,1.08610999584198
2016-10-17,1.0880399942398071
2016-10-18,1.0865000486373901
2016-10-19,1.0854699611663818
2016-10-20,1.0849000215530396
2016-10-23,1.0816800594329834
2016-10-24,1.080680012702942
2016-10-25,1.082900047302246
2016-10-26,1.08378005027771
2016-10-27,1.0829600095748901
2016-10-31,1.0846500396728516
2016-11-01,1.0852999687194824
2016-11-02,1.0780500173568726
2016-11-03,1.0795799493789673
2016-11-04,1.0815199613571167
2016-11-07,1.0813599824905396
2016-11-08,1.076300024986267
2016-11-09,1.0790200233459473
2016-11-10,1.0750900506973267
2016-11-11,1.0750000476837158
2016-11-14,1.0710999965667725
2016-11-15,1.0715999603271484
2016-11-16,1.0737899541854858
2016-11-17,1.0716300010681152
2016-11-18,1.0697599649429321
2016-11-21,1.0699100494384766
2016-11-22,1.0720200538635254
2016-11-23,1.0747499465942383
2016-11-24,1.0726300477981567
2016-11-25,1.0734699964523315
2016-11-28,1.0743800401687622
2016-11-29,1.074970006942749
2016-11-30,1.0771600008010864
2016-12-01,1.0770399570465088
2016-12-02,1.0774999856948853
2016-12-05,1.0728800296783447
2016-12-06,1.0830999612808228
2016-12-07,1.0825300216674805
2016-12-08,1.0832699537277222
2016-12-09,1.0788899660110474
2016-12-12,1.0736299753189087
2016-12-13,1.0780199766159058
2016-12-14,1.075279951095581
2016-12-15,1.074429988861084
2016-12-16,1.0727399587631226
2016-12-19,1.0725200176239014
2016-12-20,1.0687199831008911
2016-12-21,1.0690499544143677
2016-12-22,1.070389986038208
2016-12-23,1.0704900026321411
2016-12-26,1.0723999738693237
2016-12-27,1.0734200477600098
2016-12-28,1.0749000310897827
2016-12-29,1.0709400177001953
2016-12-30,1.0752300024032593
2017-01-02,1.072100043296814
2017-01-03,1.0711100101470947
2017-01-04,1.0690100193023682
2017-01-05,1.0709999799728394
2017-01-06,1.0707900524139404
2017-01-09,1.0714999437332153
2017-01-10,1.073639988899231
2017-01-11,1.073009967803955
2017-01-12,1.0732899904251099
2017-01-13,1.072510004043579
2017-01-16,1.0732899904251099
2017-01-17,1.0720499753952026
2017-01-18,1.0727399587631226
2017-01-19,1.0710599422454834
2017-01-20,1.072659969329834
2017-01-23,1.0722500085830688
2017-01-24,1.073009967803955
2017-01-25,1.0739400386810303
2017-01-26,1.0741499662399292
2017-01-27,1.0681099891662598
2017-01-30,1.0686899423599243
2017-01-31,1.0647799968719482
2017-02-01,1.0683000087738037
2017-02-02,1.069200038909912
2017-02-03,1.0679700374603271
2017-02-06,1.0699000358581543
2017-02-07,1.0650099515914917
2017-02-08,1.0653200149536133
2017-02-09,1.06413996219635
2017-02-10,1.06728994846344
2017-02-13,1.06659996509552
2017-02-14,1.0656499862670898
2017-02-15,1.064460039138794
2017-02-16,1.065659999847412
2017-02-17,1.0641900300979614
2017-02-20,1.0645999908447266
2017-02-21,1.0643399953842163
2017-02-22,1.0638600587844849
2017-02-23,1.0666600465774536
2017-02-24,1.0648599863052368
2017-02-27,1.0646100044250488
2017-02-28,1.0684200525283813
2017-03-01,1.0638999938964844
2017-03-02,1.0643600225448608
2017-03-03,1.0646699666976929
2017-03-06,1.0703400373458862
2017-03-07,1.070639967918396
2017-03-08,1.0707800388336182
2017-03-09,1.0694999694824219
2017-03-10,1.0707499980926514
2017-03-13,1.0792900323867798
2017-03-14,1.0730400085449219
2017-03-15,1.0711899995803833
2017-03-16,1.073699951171875
2017-03-17,1.0730199813842773
2017-03-20,1.0714999437332153
2017-03-21,1.072450041770935
2017-03-22,1.0740400552749634
2017-03-23,1.0705300569534302
2017-03-24,1.0709999799728394
2017-03-26,1.0717099905014038
2017-03-27,1.070639967918396
2017-03-28,1.0730799436569214
2017-03-29,1.0722500085830688
2017-03-30,1.069100022315979
2017-04-02,1.0692399740219116
2017-04-03,1.0686700344085693
2017-04-04,1.069640040397644
2017-04-05,1.0711699724197388
2017-04-06,1.0700700283050537
2017-04-09,1.0680999755859375
2017-04-10,1.0681999921798706
2017-04-11,1.0684800148010254
2017-04-12,1.0691699981689453
2017-04-13,1.0673999786376953
2017-04-16,1.066390037536621
2017-04-17,1.0688199996948242
2017-04-18,1.068850040435791
2017-04-19,1.0691299438476562
2017-04-20,1.0702300071716309
2017-04-23,1.0796300172805786
2017-04-24,1.0819000005722046
2017-04-25,1.0855900049209595
2017-04-26,1.0833899974822998
2017-04-27,1.08024001121521
2017-04-30,1.0843100547790527
2017-05-01,1.0860600471496582
2017-05-02,1.0836000442504883
2017-05-03,1.0823999643325806
2017-05-04,1.0828200578689575
2017-05-07,1.0853099822998047
2017-05-08,1.0905400514602661
2017-05-09,1.0958399772644043
2017-05-10,1.0965900421142578
2017-05-11,1.0948899984359741
2017-05-14,1.0937700271606445
2017-05-15,1.0932600498199463
2017-05-16,1.0919599533081055
2017-05-17,1.0923199653625488
2017-05-18,1.0882200002670288
2017-05-21,1.0900499820709229
2017-05-22,1.093559980392456
2017-05-23,1.0914900302886963
2017-05-24,1.092039942741394
2017-05-25,1.0909099578857422
2017-05-28,1.0895299911499023
2017-05-29,1.089750051498413
2017-05-30,1.0901000499725342
2017-05-31,1.0881500244140625
2017-06-01,1.0892000198364258
2017-06-04,1.0860899686813354
2017-06-05,1.0861799716949463
2017-06-06,1.0848000049591064
2017-06-07,1.085710048675537
2017-06-08,1.0839999914169312
2017-06-11,1.0853999853134155
2017-06-12,1.0849699974060059
2017-06-13,1.0859099626541138
2017-06-14,1.0891799926757812
2017-06-15,1.0870200395584106
2017-06-18,1.0902800559997559
2017-06-19,1.0876599550247192
2017-06-20,1.0854300260543823
2017-06-21,1.0858999490737915
2017-06-22,1.083490014076233
2017-06-25,1.0853699445724487
2017-06-26,1.0873099565505981
2017-06-27,1.088879942893982
2017-06-28,1.0920000076293945
2017-06-29,1.0930399894714355
2017-07-02,1.0951999425888062
2017-07-03,1.0952600240707397
2017-07-04,1.0951800346374512
2017-07-05,1.0941599607467651
2017-07-06,1.0969699621200562
2017-07-09,1.0986000299453735
2017-07-11,1.1051900386810303
2017-07-12,1.1018500328063965
2017-07-13,1.1026999950408936
2017-07-16,1.1052900552749634
2017-07-17,1.1048500537872314
2017-07-18,1.1031099557876587
2017-07-19,1.100640058517456
2017-07-20,1.1063400506973267
2017-07-23,1.103469967842102
2017-07-24,1.1026400327682495
2017-07-25,1.1093000173568726
2017-07-26,1.1157699823379517
2017-07-27,1.1263999938964844
2017-07-30,1.1385200023651123
2017-07-31,1.143720030784607
2017-08-01,1.1401499509811401
2017-08-02,1.1501799821853638
2017-08-03,1.149899959564209
2017-08-06,1.1455700397491455
2017-08-07,1.1486799716949463
2017-08-08,1.1437300443649292
2017-08-09,1.1332000494003296
2017-08-10,1.1320300102233887
2017-08-13,1.1383899450302124
2017-08-14,1.1450599431991577
2017-08-15,1.1416000127792358
2017-08-16,1.1363799571990967
2017-08-17,1.1271100044250488
2017-08-20,1.135200023651123
2017-08-21,1.1366000175476074
2017-08-22,1.139240026473999
2017-08-23,1.140220046043396
2017-08-24,1.138759970664978
2017-08-27,1.1417700052261353
2017-08-28,1.139449954032898
2017-08-29,1.1439100503921509
2017-08-30,1.1457899808883667
2017-08-31,1.142699956893921
2017-09-03,1.1415899991989136
2017-09-04,1.140220046043396
2017-09-05,1.1370999813079834
2017-09-06,1.139799952507019
2017-09-07,1.1420600414276123
2017-09-10,1.1386799812316895
2017-09-11,1.1434999704360962
2017-09-12,1.1491999626159668
2017-09-13,1.145490050315857
2017-09-14,1.1460700035095215
2017-09-17,1.146690011024475
2017-09-18,1.1497999429702759
2017-09-19,1.154099941253662
2017-09-20,1.1531100273132324
2017-09-21,1.1588499546051025
2017-09-24,1.157770037651062
2017-09-25,1.1455299854278564
2017-09-26,1.1424100399017334
2017-09-27,1.1417900323867798
2017-09-28,1.143470048904419
2017-10-01,1.1443400382995605
2017-10-02,1.1432600021362305
2017-10-03,1.1431000232696533
2017-10-04,1.1466000080108643
2017-10-05,1.1457300186157227
2017-10-08,1.148210048675537
2017-10-09,1.150189995765686
2017-10-10,1.151379942893982
2017-10-11,1.1545599699020386
2017-10-12,1.15339994430542
2017-10-15,1.1512999534606934
2017-10-16,1.1503100395202637
2017-10-17,1.15106999874115
2017-10-18,1.157080054283142
2017-10-19,1.1566699743270874
2017-10-22,1.158959984779358
2017-10-23,1.157420039176941
2017-10-24,1.1651099920272827
2017-10-25,1.1689000129699707
2017-10-26,1.16143000125885
2017-10-30,1.1581100225448608
2017-10-31,1.1590499877929688
2017-11-01,1.1624200344085693
2017-11-02,1.1657600402832031
2017-11-03,1.1650400161743164
2017-11-06,1.1618000268936157
2017-11-07,1.158560037612915
2017-11-08,1.1581499576568604
2017-11-09,1.1592199802398682
2017-11-10,1.1576499938964844
2017-11-13,1.1621999740600586
2017-11-14,1.162310004234314
2017-11-15,1.1669000387191772
2017-11-17,1.170009970664978
2017-11-20,1.1608999967575073
2017-11-21,1.1657600402832031
2017-11-22,1.1629999876022339
2017-11-23,1.1601999998092651
2017-11-24,1.1632800102233887
2017-11-27,1.1691999435424805
2017-11-28,1.1681900024414062
2017-11-29,1.1660000085830688
2017-11-30,1.166700005531311
2017-12-01,1.1706500053405762
2017-12-04,1.16457998752594
2017-12-05,1.1685400009155273
2017-12-06,1.1680999994277954
2017-12-07,1.167639970779419
2017-12-08,1.170930027961731
2017-12-11,1.1683000326156616
2017-12-12,1.1674400568008423
2017-12-13,1.1641000509262085
2017-12-14,1.1664299964904785
2017-12-15,1.1644200086593628
2017-12-18,1.1639599800109863
2017-12-19,1.1613999605178833
2017-12-20,1.1665199995040894
2017-12-21,1.1714099645614624
2017-12-22,1.1720499992370605
2017-12-25,1.1722999811172485
2017-12-26,1.1740100383758545
2017-12-27,1.1734999418258667
2017-12-28,1.173110008239746
2017-12-29,1.1685999631881714
2018-01-01,1.169800043106079
2018-01-02,1.1706000566482544
2018-01-03,1.1718699932098389
2018-01-04,1.1734600067138672
2018-01-05,1.1758999824523926
2018-01-08,1.1736799478530884
2018-01-09,1.169800043106079
2018-01-10,1.1735700368881226
2018-01-11,1.1688799858093262
2018-01-12,1.1748299598693848
2018-01-15,1.1803699731826782
2018-01-16,1.1815600395202637
2018-01-17,1.176859974861145
2018-01-18,1.17576003074646
2018-01-19,1.1734000444412231
2018-01-22,1.178320050239563
2018-01-23,1.1790800094604492
2018-01-24,1.1775699853897095
2018-01-25,1.1725000143051147
2018-01-26,1.167099952697754
2018-01-29,1.160249948501587
2018-01-30,1.16048002243042
2018-01-31,1.1597299575805664
2018-02-01,1.156499981880188
2018-02-02,1.1583499908447266
2018-02-05,1.1586999893188477
2018-02-06,1.1515899896621704
2018-02-07,1.1589800119400024
2018-02-08,1.156540036201477
2018-02-09,1.146399974822998
2018-02-12,1.1512399911880493
2018-02-13,1.1548000574111938
2018-02-14,1.1553000211715698
2018-02-15,1.1562399864196777
2018-02-16,1.152999997138977
2018-02-19,1.1507999897003174
2018-02-20,1.1522899866104126
2018-02-21,1.1549700498580933
2018-02-22,1.152899980545044
2018-02-23,1.150089979171753
2018-02-26,1.1513400077819824
2018-02-27,1.1558599472045898
2018-02-28,1.148900032043457
2018-03-01,1.1514999866485596
2018-03-02,1.1552400588989258
2018-03-05,1.1536999940872192
2018-03-06,1.1593600511550903
2018-03-07,1.1649199724197388
2018-03-08,1.1710000038146973
2018-03-09,1.1708999872207642
2018-03-12,1.1703100204467773
2018-03-13,1.1687599420547485
2018-03-14,1.1692999601364136
2018-03-15,1.168720006942749
2018-03-16,1.170889973640442
2018-03-19,1.1700899600982666
2018-03-20,1.1732200384140015
2018-03-21,1.1707500219345093
2018-03-22,1.1712000370025635
2018-03-23,1.1664700508117676
2018-03-25,1.170050024986267
2018-03-26,1.176900029182434
2018-03-27,1.1743700504302979
2018-03-28,1.1776000261306763
2018-03-29,1.1763999462127686
2018-04-01,1.1754399538040161
2018-04-02,1.1740700006484985
2018-04-03,1.1766899824142456
2018-04-04,1.179569959640503
2018-04-05,1.1786199808120728
2018-04-08,1.1771600246429443
2018-04-09,1.1781200170516968
2018-04-10,1.1822400093078613
2018-04-11,1.184499979019165
2018-04-12,1.1863000392913818
2018-04-15,1.1876699924468994
2018-04-16,1.1881799697875977
2018-04-17,1.195989966392517
2018-04-18,1.198799967765808
2018-04-19,1.1993299722671509
2018-04-22,1.197700023651123
2018-04-23,1.1941499710083008
2018-04-24,1.1978000402450562
2018-04-25,1.1959099769592285
2018-04-26,1.1975300312042236
2018-04-29,1.1978100538253784
2018-04-30,1.1967799663543701
2018-05-01,1.1950000524520874
2018-05-02,1.194100022315979
2018-05-03,1.195680022239685
2018-05-06,1.1960300207138062
2018-05-07,1.1955100297927856
2018-05-08,1.1883000135421753
2018-05-09,1.1912000179290771
2018-05-10,1.195099949836731
2018-05-13,1.195099949836731
2018-05-14,1.1934000253677368
2018-05-15,1.1836199760437012
2018-05-16,1.1821000576019287
2018-05-17,1.1812000274658203
2018-05-20,1.174299955368042
2018-05-21,1.1753000020980835
2018-05-22,1.1693999767303467
