,GBP
2016-06-30,1.3006000518798828
2016-07-03,1.2941999435424805
2016-07-04,1.2890000343322754
2016-07-05,1.2654199600219727
2016-07-06,1.2596999406814575
2016-07-07,1.2638599872589111
2016-07-10,1.2725800275802612
2016-07-11,1.2752000093460083
2016-07-12,1.3131099939346313
2016-07-13,1.2910900115966797
2016-07-14,1.3104000091552734
2016-07-17,1.3012700080871582
2016-07-18,1.3035900592803955
2016-07-19,1.2922500371932983
2016-07-20,1.3076599836349487
2016-07-21,1.303879976272583
2016-07-24,1.2971500158309937
2016-07-25,1.292099952697754
2016-07-26,1.3045300245285034
2016-07-27,1.3032200336456299
2016-07-28,1.28889000415802
2016-07-31,1.2809499502182007
2016-08-01,1.2761499881744385
2016-08-02,1.2866699695587158
2016-08-03,1.2962299585342407
2016-08-04,1.2782299518585205
2016-08-07,1.2828500270843506
2016-08-08,1.2806899547576904
2016-08-09,1.2762900590896606
2016-08-10,1.2677199840545654
2016-08-11,1.262760043144226
2016-08-14,1.2580900192260742
2016-08-15,1.253250002861023
2016-08-16,1.2531399726867676
2016-08-17,1.2539399862289429
2016-08-18,1.2562999725341797
2016-08-21,1.2556899785995483
2016-08-22,1.2639700174331665
2016-08-23,1.2711299657821655
2016-08-24,1.28016996383667
2016-08-25,1.2756999731063843
2016-08-28,1.2836300134658813
2016-08-29,1.2813999652862549
2016-08-30,1.286910057067871
2016-08-31,1.2916500568389893
2016-09-01,1.300570011138916
2016-09-04,1.3029600381851196
2016-09-05,1.3044699430465698
2016-09-06,1.301650047302246
2016-09-07,1.2934999465942383
2016-09-08,1.2932100296020508
2016-09-11,1.2939399480819702
2016-09-12,1.2956299781799316
2016-09-13,1.288699984550476
2016-09-14,1.2908600568771362
2016-09-15,1.2862999439239502
2016-09-18,1.274839997291565
2016-09-19,1.2773900032043457
2016-09-20,1.2710800170898438
2016-09-21,1.2684500217437744
2016-09-22,1.2678799629211426
2016-09-25,1.257789969444275
2016-09-26,1.2564200162887573
2016-09-27,1.2627099752426147
2016-09-28,1.2649999856948853
2016-09-29,1.2524000406265259
2016-10-02,1.256700038909912
2016-10-03,1.2518099546432495
2016-10-04,1.2455699443817139
2016-10-05,1.2421000003814697
2016-10-06,1.215000033378601
2016-10-09,1.2155200242996216
2016-10-10,1.2117700576782227
2016-10-11,1.2122700214385986
2016-10-12,1.2065000534057617
2016-10-13,1.2058600187301636
2016-10-16,1.2061400413513184
2016-10-17,1.207129955291748
2016-10-18,1.2180700302124023
2016-10-19,1.2156200408935547
2016-10-20,1.2162100076675415
2016-10-23,1.2143000364303589
2016-10-24,1.2143399715423584
2016-10-25,1.2109500169754028
2016-10-26,1.2151999473571777
2016-10-27,1.2093100547790527
2016-10-31,1.2057900428771973
2016-11-01,1.2102899551391602
2016-11-02,1.1931699514389038
2016-11-03,1.1971900463104248
2016-11-04,1.2144999504089355
2016-11-07,1.2164000272750854
2016-11-08,1.207550048828125
2016-11-09,1.2130000591278076
2016-11-10,1.222540020942688
2016-11-11,1.239240050315857
2016-11-14,1.2439700365066528
2016-11-15,1.248170018196106
2016-11-16,1.2469700574874878
2016-11-17,1.2450499534606934
2016-11-18,1.2497999668121338
2016-11-21,1.2458300590515137
2016-11-22,1.2589399814605713
2016-11-23,1.255769968032837
2016-11-24,1.2646700143814087
2016-11-25,1.265910029411316
2016-11-28,1.2634899616241455
2016-11-29,1.2560499906539917
2016-11-30,1.2634899616241455
2016-12-01,1.2726999521255493
2016-12-02,1.2719999551773071
2016-12-05,1.2845699787139893
2016-12-06,1.2813600301742554
2016-12-07,1.2795000076293945
2016-12-08,1.2712299823760986
2016-12-09,1.2780499458312988
2016-12-12,1.2823100090026855
2016-12-13,1.2841399908065796
2016-12-14,1.2809900045394897
2016-12-15,1.2810900211334229
2016-12-16,1.279129981994629
2016-12-19,1.282099962234497
2016-12-20,1.2723499536514282
2016-12-21,1.2720400094985962
2016-12-22,1.2678899765014648
2016-12-23,1.2596900463104248
2016-12-26,1.2607200145721436
2016-12-27,1.2603700160980225
2016-12-28,1.2613500356674194
2016-12-29,1.2567700147628784
2016-12-30,1.2494200468063354
2017-01-02,1.2569700479507446
2017-01-03,1.2575700283050537
2017-01-04,1.2560399770736694
2017-01-05,1.2571200132369995
2017-01-06,1.2540899515151978
2017-01-09,1.247040033340454
2017-01-10,1.2341500520706177
2017-01-11,1.2374600172042847
2017-01-12,1.2370799779891968
2017-01-13,1.2289799451828003
2017-01-16,1.215559959411621
2017-01-17,1.2172800302505493
2017-01-18,1.2423100471496582
2017-01-19,1.2354300022125244
2017-01-20,1.2414000034332275
2017-01-23,1.2395000457763672
2017-01-24,1.2481000423431396
2017-01-25,1.2545000314712524
2017-01-26,1.2620899677276611
2017-01-27,1.2592799663543701
2017-01-30,1.2559000253677368
2017-01-31,1.2429200410842896
2017-02-01,1.2449400424957275
2017-02-02,1.2568299770355225
2017-02-03,1.242400050163269
2017-02-06,1.2386599779129028
2017-02-07,1.235949993133545
2017-02-08,1.2467299699783325
2017-02-09,1.2467700242996216
2017-02-10,1.2514400482177734
2017-02-13,1.2538100481033325
2017-02-14,1.2590399980545044
2017-02-15,1.2547600269317627
2017-02-16,1.2527199983596802
2017-02-17,1.245300054550171
2017-02-20,1.245650053024292
2017-02-21,1.2511999607086182
2017-02-22,1.2600799798965454
2017-02-23,1.258929967880249
2017-02-24,1.2631399631500244
2017-02-27,1.2507599592208862
2017-02-28,1.2554899454116821
2017-03-01,1.2458100318908691
2017-03-02,1.2397300004959106
2017-03-03,1.243530035018921
2017-03-06,1.239300012588501
2017-03-07,1.2386599779129028
2017-03-08,1.236199975013733
2017-03-09,1.2348099946975708
2017-03-10,1.23048996925354
2017-03-13,1.2285799980163574
2017-03-14,1.2295000553131104
2017-03-15,1.2270300388336182
2017-03-16,1.2280299663543701
2017-03-17,1.2298699617385864
2017-03-20,1.2351000308990479
2017-03-21,1.2353800535202026
2017-03-22,1.2397899627685547
2017-03-23,1.237470030784607
2017-03-24,1.2431399822235107
2017-03-26,1.236340045928955
2017-03-27,1.2376999855041504
2017-03-28,1.2321499586105347
2017-03-29,1.2397099733352661
2017-03-30,1.2482099533081055
2017-04-02,1.25655996799469
2017-04-03,1.2509900331497192
2017-04-04,1.245859980583191
2017-04-05,1.253100037574768
2017-04-06,1.253350019454956
2017-04-09,1.2490400075912476
2017-04-10,1.2522900104522705
2017-04-11,1.2577400207519531
2017-04-12,1.257449984550476
2017-04-13,1.2568999528884888
2017-04-16,1.2596299648284912
2017-04-17,1.260890007019043
2017-04-18,1.2796299457550049
2017-04-19,1.2752900123596191
2017-04-20,1.2786400318145752
2017-04-23,1.2733900547027588
2017-04-24,1.2722400426864624
2017-04-25,1.2747600078582764
2017-04-26,1.275730013847351
2017-04-27,1.2820199728012085
2017-04-30,1.2854000329971313
2017-05-01,1.2838000059127808
2017-05-02,1.2824300527572632
2017-05-03,1.2793999910354614
2017-05-04,1.2744899988174438
2017-05-07,1.283310055732727
2017-05-08,1.2917399406433105
2017-05-09,1.303380012512207
2017-05-10,1.3044999837875366
2017-05-11,1.2989599704742432
2017-05-14,1.2896499633789062
2017-05-15,1.2844300270080566
2017-05-16,1.271239995956421
2017-05-17,1.2697299718856812
2017-05-18,1.2690000534057617
2017-05-21,1.2657999992370605
2017-05-22,1.2644799947738647
2017-05-23,1.264840006828308
2017-05-24,1.2620400190353394
2017-05-25,1.2582000494003296
2017-05-28,1.2492200136184692
2017-05-29,1.254699945449829
2017-05-30,1.2496999502182007
2017-05-31,1.246269941329956
2017-06-01,1.2514599561691284
2017-06-04,1.2391200065612793
2017-06-05,1.245300054550171
2017-06-06,1.2418999671936035
2017-06-07,1.250380039215088
2017-06-08,1.2329000234603882
