,ZGLD.SW
2016-07-01,401.5
2016-07-04,405.2799987792969
2016-07-05,405.8399963378906
2016-07-06,414.989990234375
2016-07-07,410.0
2016-07-08,411.0
2016-07-11,413.05999755859375
2016-07-12,409.32000732421875
2016-07-13,407.3599853515625
2016-07-14,403.1400146484375
2016-07-15,403.6000061035156
2016-07-18,403.2900085449219
2016-07-19,405.6000061035156
2016-07-20,401.6600036621094
2016-07-21,403.6600036621094
2016-07-22,403.739990234375
2016-07-25,402.6300048828125
2016-07-26,404.6000061035156
2016-07-27,406.739990234375
2016-07-28,404.510009765625
2016-07-29,402.19000244140625
2016-08-02,406.5899963378906
2016-08-03,406.94000244140625
2016-08-04,409.7200012207031
2016-08-05,405.1499938964844
2016-08-08,405.70001220703125
2016-08-09,406.7099914550781
2016-08-10,406.20001220703125
2016-08-11,405.9200134277344
2016-08-12,406.7900085449219
2016-08-15,403.0
2016-08-16,400.3599853515625
2016-08-17,399.79998779296875
2016-08-18,399.17999267578125
2016-08-19,398.75
2016-08-22,397.0199890136719
2016-08-23,397.7099914550781
2016-08-24,396.5
2016-08-25,395.5799865722656
2016-08-26,399.3900146484375
2016-08-29,399.6600036621094
2016-08-30,399.8299865722656
2016-08-31,396.8399963378906
2016-09-01,397.1400146484375
2016-09-02,399.80999755859375
2016-09-05,401.3699951171875
2016-09-06,402.760009765625
2016-09-07,402.5400085449219
2016-09-08,401.8800048828125
2016-09-09,401.8500061035156
2016-09-12,397.82000732421875
2016-09-13,397.8800048828125
2016-09-14,397.3299865722656
2016-09-15,396.0799865722656
2016-09-16,396.2799987792969
2016-09-19,397.07000732421875
2016-09-20,397.30999755859375
2016-09-21,399.6300048828125
2016-09-22,399.82000732421875
2016-09-23,401.07000732421875
2016-09-26,400.04998779296875
2016-09-27,398.30999755859375
2016-09-28,396.0400085449219
2016-09-29,392.510009765625
2016-09-30,395.45001220703125
2016-10-03,393.69000244140625
2016-10-04,387.3900146484375
2016-10-05,382.3999938964844
2016-10-06,379.6000061035156
2016-10-07,378.760009765625
2016-10-10,381.8999938964844
2016-10-11,382.54998779296875
2016-10-12,382.8399963378906
2016-10-13,383.6000061035156
2016-10-14,382.3599853515625
2016-10-17,383.489990234375
2016-10-18,385.2900085449219
2016-10-19,388.25
2016-10-20,388.0299987792969
2016-10-21,388.67999267578125
2016-10-24,386.45001220703125
2016-10-25,391.3800048828125
2016-10-26,389.0899963378906
2016-10-27,388.1199951171875
2016-10-28,389.5799865722656
2016-10-31,388.95001220703125
2016-11-01,389.6000061035156
2016-11-02,391.0
2016-11-03,391.04998779296875
2016-11-04,391.04998779296875
2016-11-07,385.9100036621094
2016-11-08,384.9100036621094
2016-11-09,390.6499938964844
2016-11-10,385.75
2016-11-11,373.8599853515625
2016-11-14,375.2200012207031
2016-11-15,378.1199951171875
2016-11-16,380.239990234375
2016-11-17,380.239990234375
2016-11-18,377.1700134277344
2016-11-21,378.1000061035156
2016-11-22,377.94000244140625
2016-11-23,373.0
2016-11-24,372.1300048828125
2016-11-25,370.5
2016-11-28,372.82000732421875
2016-11-29,371.3900146484375
2016-11-30,368.75
2016-12-01,365.0199890136719
2016-12-02,366.989990234375
2016-12-05,363.4100036621094
2016-12-06,365.17999267578125
2016-12-07,365.8999938964844
2016-12-08,367.3900146484375
2016-12-09,366.30999755859375
2016-12-12,363.70001220703125
2016-12-13,361.79998779296875
2016-12-14,362.6600036621094
2016-12-15,359.0899963378906
2016-12-16,358.3399963378906
2016-12-19,360.1499938964844
2016-12-20,357.9599914550781
2016-12-21,357.9599914550781
2016-12-22,358.6600036621094
2016-12-23,359.55999755859375
2016-12-27,362.4800109863281
2016-12-28,362.9700012207031
2016-12-29,362.9700012207031
2016-12-30,363.7099914550781
2017-01-03,368.70001220703125
2017-01-04,369.1199951171875
2017-01-05,370.57000732421875
2017-01-06,369.0199890136719
2017-01-09,371.82000732421875
2017-01-10,372.989990234375
2017-01-11,373.0
2017-01-12,375.5799865722656
